steamid,appid,playtime_forever,playtime_2weeks
76561198372738388,389730,12.933333333333334,NA
76561198372738388,1778820,18.983333333333334,NA
76561198129886833,389730,7308.516666666666,NA
76561198129886833,1778820,263.43333333333334,46.25
76561198129742189,389730,6638.833333333333,NA
76561198129742189,1778820,430.7,57.083333333333336
76561198191357449,389730,1467.9666666666667,NA
76561198191357449,1778820,108.1,2.55
76561198014454032,389730,437.76666666666665,NA
76561198014454032,1778820,73.96666666666667,NA
76561198244846782,389730,0.7333333333333333,NA
76561198244846782,1778820,18.633333333333333,0.8666666666666667
76561198985190806,389730,0,NA
76561198985190806,1778820,0,NA
76561198372100694,389730,4852.45,NA
76561198372100694,1778820,203.26666666666668,30.033333333333335
76561198095441443,389730,84.48333333333333,NA
76561198095441443,1778820,47.68333333333333,1.3666666666666667
76561197972201429,389730,13.883333333333333,NA
76561197972201429,1778820,61.583333333333336,NA
76561198010522797,389730,403.5833333333333,NA
76561198010522797,1778820,162.98333333333332,5.416666666666667
76561198961864543,389730,11.55,NA
76561198961864543,1778820,125.96666666666667,NA
76561198007908743,389730,1317.75,NA
76561198007908743,1778820,99.4,20.883333333333333
76561198128596116,389730,1011.7166666666667,NA
76561198128596116,1778820,179.65,8.366666666666667
76561198291348689,389730,13.266666666666667,NA
76561198291348689,1778820,47.95,NA
76561198371808825,389730,2799.883333333333,NA
76561198371808825,1778820,302.21666666666664,50.85
76561198168059297,389730,18.9,NA
76561198168059297,1778820,28.9,NA
76561198840236312,389730,194.3,0.3
76561198014330336,389730,20.366666666666667,NA
76561197961558949,389730,424.3666666666667,NA
76561197961558949,1778820,191.73333333333332,7.05
76561199048382447,389730,395.2,0.75
76561199048382447,1778820,163.13333333333333,19.116666666666667
76561199003714731,389730,29.916666666666668,NA
76561199003714731,1778820,239.9,19.5
76561198067829710,389730,10.25,NA
76561198067829710,1778820,29.9,NA
76561198109935194,389730,78.75,NA
76561198109935194,1778820,26.4,NA
76561198308518675,389730,1597.85,NA
76561198308518675,1778820,142.55,2.15
76561198211476837,389730,1012.5833333333334,NA
76561198211476837,1778820,260.75,28.633333333333333
76561198087584559,389730,1.1,NA
76561198087584559,1778820,133.31666666666666,0.9666666666666667
76561198011076159,389730,686.1666666666666,NA
76561198011076159,1778820,225.13333333333333,31.466666666666665
76561197998171262,389730,1517.6333333333334,NA
76561197998171262,1778820,170.23333333333332,19.133333333333333
76561198041635583,389730,0,NA
76561198041635583,1778820,0,NA
76561197994699801,1778820,128.31666666666666,22.183333333333334
76561198010209033,389730,1351.8,NA
76561198010209033,1778820,212,24.633333333333333
76561198145946287,1778820,39.4,NA
76561198077522093,389730,27.516666666666666,NA
76561198077522093,1778820,105.01666666666667,NA
76561198976431168,389730,247.18333333333334,NA
76561198976431168,1778820,72.5,7
76561198077042283,389730,63.11666666666667,NA
76561198077042283,1778820,62.31666666666667,NA
76561198040653067,389730,868.1166666666667,NA
76561198040653067,1778820,267.3666666666667,72.11666666666666
76561198123002101,389730,47.9,NA
76561198123002101,1778820,64.05,NA
76561198056744486,389730,356.35,NA
76561198056744486,1778820,100.75,15.916666666666666
76561198851889661,389730,690.8833333333333,NA
76561198851889661,1778820,523.8,28.616666666666667
76561198066239685,389730,486.21666666666664,NA
76561198066239685,1778820,196.6,6.05
76561198072696308,389730,494.06666666666666,NA
76561198072696308,1778820,253.05,74.8
76561197988508472,389730,1366.65,1
76561197988508472,1778820,248.36666666666667,22.2
76561198849725395,389730,90.41666666666667,NA
76561198849725395,1778820,98.81666666666666,14.916666666666666
76561198019986199,389730,5130.533333333334,NA
76561198019986199,1778820,518.2166666666667,60.166666666666664
76561198011094722,1778820,85.78333333333333,NA
76561197960579454,389730,0,NA
76561197960579454,1778820,0,NA
76561198052456400,1778820,374.05,0.2
76561198052456400,389730,57.233333333333334,NA
76561198037301199,389730,648.5166666666667,NA
76561198037301199,1778820,229.15,9.233333333333333
76561199140780580,389730,516.35,NA
76561199140780580,1778820,114.45,30.833333333333332
76561198381337325,389730,816.2,NA
76561198381337325,1778820,56.2,0.38333333333333336
76561198020787345,389730,20.333333333333332,NA
76561198020787345,1778820,25.4,NA
76561199091608886,389730,801.15,NA
76561199091608886,1778820,204.68333333333334,NA
76561198366803144,389730,406.28333333333336,NA
76561198366803144,1778820,179.51666666666668,39.516666666666666
76561198310277921,1778820,20.433333333333334,NA
76561197970901943,1778820,0,NA
76561198019481361,389730,123.85,NA
76561198019481361,1778820,102.9,32.13333333333333
76561197999628553,389730,0,NA
76561197999628553,1778820,0,NA
76561198117639818,389730,0,NA
76561198117639818,1778820,0,NA
76561198082607785,389730,2933.55,NA
