steamid,appid,playtime_forever,playtime_2weeks,X1pPlayerName,rank,games,n,sample_weights
76561198399488382,389730,914.7166666666667,NA,Ryan Utah,29,24,143,0.0022922176805321793
76561198399488382,1778820,195.31666666666666,85.5,Ryan Utah,29,24,143,0.0022922176805321793
76561198965711108,389730,0,NA,oOBonSwagOo,2,2,567,0.009088723250781437
76561198965711108,1778820,0,NA,oOBonSwagOo,2,2,567,0.009088723250781437
76561198017426331,389730,2233.55,NA,Veve,23,3,1355,0.021719964735112608
76561198017426331,1778820,194.66666666666666,25.883333333333333,Veve,23,3,1355,0.021719964735112608
76561198075139983,389730,1892.2833333333333,NA,dmitrysofa,26,13,423,0.006780476075979803
76561198075139983,1778820,303.06666666666666,42.68333333333333,dmitrysofa,26,13,423,0.006780476075979803
76561198052006881,389730,180.08333333333334,NA,keko,13,1,3056,0.04898613448745692
76561198052006881,1778820,40.46666666666667,9.95,keko,13,1,3056,0.04898613448745692
76561198876055748,389730,7992.316666666667,NA,MEGAMAN DERSON,28,27,131,0.0020998637492987094
76561198876055748,1778820,477.25,82.75,MEGAMAN DERSON,28,27,131,0.0020998637492987094
76561198115499447,389730,34.65,NA,응애 나 아가뉴비,7,3,889,0.014250220405546205
76561198115499447,1778820,101.18333333333334,23.466666666666665,응애 나 아가뉴비,7,3,889,0.014250220405546205
76561198314399194,389730,35.75,NA,Wasabi,17,23,4305,0.06900697283000722
76561198314399194,1778820,23.316666666666666,12.566666666666666,Wasabi,17,23,4305,0.06900697283000722
76561198116529513,389730,0,NA,Anarkh,24,2,909,0.014570810290935321
76561198116529513,1778820,0,NA,Anarkh,24,2,909,0.014570810290935321
76561198242199584,389730,0.6833333333333333,NA,Spear98,7,4,889,0.014250220405546205
76561198242199584,1778820,81.6,21.483333333333334,Spear98,7,4,889,0.014250220405546205
76561198150925334,389730,5.433333333333334,NA,Beka2.0,4,2,802,0.01285565440410355
76561198150925334,1778820,23.316666666666666,4.65,Beka2.0,4,2,802,0.01285565440410355
76561198841209456,389730,387.15,NA,Nevs,19,5,3379,0.05416366113649115
76561198841209456,1778820,210.06666666666666,22.583333333333332,Nevs,19,5,3379,0.05416366113649115
76561198044738999,389730,148.55,NA,GoDKrusade,22,1,1869,0.02995912478961289
76561198044738999,1778820,149.95,24.833333333333332,GoDKrusade,22,1,1869,0.02995912478961289
76561199072015110,389730,1844.1333333333334,NA,Savior,27,5,295,0.0047287008094894604
76561199072015110,1778820,250.18333333333334,49.416666666666664,Savior,27,5,295,0.0047287008094894604
76561198818969040,389730,122.93333333333334,1.85,小仓朝日,20,4,2975,0.047687745451631
76561198818969040,1778820,237.26666666666668,33.71666666666667,小仓朝日,20,4,2975,0.047687745451631
76561198869246926,389730,22.016666666666666,NA,makkycheeze,8,13,1287,0.020629959124789612
76561198869246926,1778820,46.31666666666667,27.4,makkycheeze,8,13,1287,0.020629959124789612
76561198041558069,389730,2586.133333333333,NA,장림동여심폭격기이성준,29,7,143,0.0022922176805321793
76561198041558069,1778820,412.1166666666667,60.166666666666664,장림동여심폭격기이성준,29,7,143,0.0022922176805321793
76561198125286061,1778820,70.51666666666667,2.9166666666666665,Riverfish,3,1,848,0.013593011140498518
76561199225531782,1778820,43.18333333333333,43.18333333333333,Histraction,1,2,642,0.010290935320990622
76561198148910761,389730,391.9,NA,TTV CUHIZA,19,5,3379,0.05416366113649115
76561198148910761,1778820,140.36666666666667,8.733333333333333,TTV CUHIZA,19,5,3379,0.05416366113649115
76561198962485679,389730,1.95,NA,Kiryu.,0,1,2058,0.03298869920654003
76561198158668302,389730,17.2,NA,Bountyfressh15,8,3,1287,0.020629959124789612
76561198158668302,1778820,127.35,21.35,Bountyfressh15,8,3,1287,0.020629959124789612
76561198136171208,389730,21.866666666666667,NA,MrHypersonic22,13,1,3056,0.04898613448745692
76561198136171208,1778820,65.76666666666667,5.85,MrHypersonic22,13,1,3056,0.04898613448745692
76561198027604730,1778820,24.366666666666667,4.35,Zeero,1,1,642,0.010290935320990622
