steamid,appid,playtime_forever,playtime_2weeks
76561198120532301,389730,10.833333333333334,NA
76561198120532301,1778820,79.03333333333333,14.466666666666667
76561198439604518,389730,21.283333333333335,NA
76561198439604518,1778820,104.45,0.6333333333333333
76561198113330946,1778820,0,NA
76561198081428150,389730,14.55,NA
76561198081428150,1778820,95.71666666666667,1.1333333333333333
76561198338886061,1778820,64.31666666666666,6.983333333333333
76561198259834106,389730,3186.4666666666667,0.26666666666666666
76561198259834106,1778820,184.78333333333333,8.683333333333334
76561198822063097,389730,112.73333333333333,NA
76561198822063097,1778820,79.78333333333333,1.3833333333333333
76561198072891755,389730,471.93333333333334,NA
76561198072891755,1778820,155.96666666666667,7.316666666666666
76561198114246152,1778820,19.683333333333334,NA
76561198878605533,389730,1312.2166666666667,NA
76561198878605533,1778820,379.28333333333336,8.8
76561198041577902,389730,678.8666666666667,NA
76561198041577902,1778820,121,0.06666666666666667
76561199062243866,389730,275.7,NA
76561199062243866,1778820,281.78333333333336,0.9666666666666667
76561198170203489,389730,2.25,NA
76561198170203489,1778820,111.71666666666667,11.883333333333333
76561198301621974,389730,326.98333333333335,NA
76561198301621974,1778820,331.31666666666666,49.65
76561197995726554,389730,173.66666666666666,NA
76561197995726554,1778820,221.8,11.866666666666667
76561198115395940,389730,18.816666666666666,NA
76561198115395940,1778820,14.05,NA
76561198263111846,389730,601.5333333333333,NA
76561198263111846,1778820,432.46666666666664,50.833333333333336
76561198296996003,389730,328.78333333333336,NA
76561198296996003,1778820,79.13333333333334,4.366666666666666
76561198268257999,389730,3068.616666666667,NA
76561198268257999,1778820,345.53333333333336,14.316666666666666
76561198211843221,389730,1982.6166666666666,NA
76561198211843221,1778820,336.8833333333333,35.55
76561198984185726,389730,52.03333333333333,NA
76561198984185726,1778820,188.93333333333334,29.983333333333334
76561198119863270,389730,2.2,NA
76561198119863270,1778820,31.266666666666666,NA
76561198048697093,389730,572.3166666666667,NA
76561198048697093,1778820,83.48333333333333,5.633333333333334
76561199179399878,389730,81.85,NA
76561199179399878,1778820,713.85,19.4
76561198119086127,389730,4354.316666666667,NA
76561198119086127,1778820,380.3833333333333,13.033333333333333
76561198057414633,389730,466.03333333333336,NA
76561198057414633,1778820,204.06666666666666,NA
76561197993371794,389730,592.1666666666666,NA
76561197993371794,1778820,185.78333333333333,NA
76561199014743222,389730,561.6,NA
76561199014743222,1778820,143.13333333333333,18.483333333333334
76561198088574750,389730,153.28333333333333,NA
76561198088574750,1778820,181.23333333333332,NA
76561197989038831,1778820,188.4,5.766666666666667
76561198421424973,389730,2170.483333333333,NA
76561198421424973,1778820,268.28333333333336,3.566666666666667
76561199390244089,1778820,124.26666666666667,1.7833333333333334
76561198141988793,389730,1542.5833333333333,NA
76561198141988793,1778820,429.6666666666667,28.666666666666668
76561198389933746,389730,2666.55,0.016666666666666666
76561198389933746,1778820,690.2166666666667,32.65
76561197989900241,389730,142.08333333333334,NA
76561197989900241,1778820,180.86666666666667,29.7
76561198078490669,1778820,20.183333333333334,NA
76561198041953900,1778820,55.75,10.416666666666666
76561198847815161,1778820,84.83333333333333,NA
76561198360749941,389730,516.4333333333333,NA
76561198360749941,1778820,205.5,12.083333333333334
76561198044427855,389730,38.96666666666667,NA
76561198044427855,1778820,94.08333333333333,NA
76561198065658626,389730,339.15,NA
76561198065658626,1778820,104.06666666666666,NA
76561198014264612,389730,168.16666666666666,NA
76561198014264612,1778820,68.36666666666666,NA
76561198095485644,389730,0,NA
76561198095485644,1778820,0,NA
76561198038969486,1778820,305.31666666666666,49.583333333333336
76561198038969486,389730,900.4166666666666,NA
76561199095496279,389730,10.8,NA
76561198030405435,389730,227.2,NA
76561198030405435,1778820,123.75,NA
76561198079441510,389730,382.43333333333334,NA
76561198079441510,1778820,521.3333333333334,81.81666666666666
76561198030334270,389730,0,NA
76561198030334270,1778820,0,NA
76561198399651314,389730,42.68333333333333,NA
76561198399651314,1778820,108.66666666666667,1.05
76561199140086001,389730,40.93333333333333,NA
76561199140086001,1778820,388.65,6.533333333333333
76561198857993051,1778820,27.633333333333333,NA
76561198123002101,389730,47.9,NA
76561198123002101,1778820,73.53333333333333,9.466666666666667
76561197960579454,389730,0,NA
76561197960579454,1778820,0,NA
76561198000931558,389730,623.85,NA
76561198000931558,1778820,97.11666666666666,NA
76561198292485866,1778820,50.833333333333336,0.7166666666666667
76561198304260444,389730,32.81666666666667,NA
76561198304260444,1778820,27.683333333333334,NA
76561198047278508,389730,0,NA
76561198047278508,1778820,0,NA
76561198131904152,389730,1788.6833333333334,0.36666666666666664
76561198131904152,1778820,306.96666666666664,29.55
76561198178535418,1778820,222.78333333333333,NA
76561198993157305,1778820,0,NA
76561198274335943,389730,20.983333333333334,NA
76561198274335943,1778820,23.466666666666665,NA
76561198101017069,389730,16.2,NA
76561198101017069,1778820,54.016666666666666,10.833333333333334
76561199230279715,389730,0,NA
76561199230279715,1778820,0,NA
76561198147983905,389730,9.45,NA
76561198147983905,1778820,36.016666666666666,0.8833333333333333
76561198087584559,389730,1.1,NA
76561198087584559,1778820,147.85,13.55
76561198161528099,389730,118.3,NA
76561198161528099,1778820,52.266666666666666,0.6833333333333333
76561198162591216,1778820,115.38333333333334,2.9833333333333334
76561198123768786,389730,562.5833333333334,NA
76561198123768786,1778820,200.01666666666668,24.816666666666666
76561198072263019,389730,38.9,NA
76561198072263019,1778820,71.78333333333333,NA
76561198393196638,389730,442.06666666666666,NA
76561198393196638,1778820,40.2,1.0166666666666666
76561198112348569,389730,1105.25,NA
76561198112348569,1778820,172,5.766666666666667
76561198053702089,389730,1528.9666666666667,NA
76561198053702089,1778820,260.55,28.316666666666666
76561198021529642,389730,901.0833333333334,NA
76561198021529642,1778820,116.88333333333334,11.933333333333334
76561198029134935,1778820,131.46666666666667,15.733333333333333
76561198399313382,1778820,68.9,NA
76561198087355580,389730,187,NA
76561198087355580,1778820,146.18333333333334,6.166666666666667
76561198210473044,389730,385.76666666666665,NA
76561198210473044,1778820,149.65,NA
76561198966695310,1778820,175.86666666666667,9.4
76561198189026369,389730,2332.2833333333333,NA
76561198189026369,1778820,199,38.733333333333334
76561198019583992,389730,3412.9166666666665,NA
76561198019583992,1778820,422.35,32.81666666666667
76561198321973146,389730,1906.7833333333333,NA
76561198321973146,1778820,130.18333333333334,NA
76561198177628627,389730,4.416666666666667,NA
76561198177628627,1778820,36.61666666666667,0.55
76561198354957585,389730,0,NA
76561198354957585,1778820,0,NA
76561198035971148,1778820,17.75,NA
76561198034498586,389730,739.8166666666667,NA
76561198034498586,1778820,350.43333333333334,48.78333333333333
76561198014060891,389730,59.53333333333333,NA
76561198014060891,1778820,60.96666666666667,2.15
76561198181850215,389730,151.55,NA
76561198181850215,1778820,53.7,NA
76561199212976330,389730,1029.3,0.7
76561199212976330,1778820,253.06666666666666,14.833333333333334
76561198985190806,389730,0,NA
76561198985190806,1778820,0,NA
76561198379925735,389730,77.31666666666666,NA
76561198379925735,1778820,189.93333333333334,58.18333333333333
76561198258631321,389730,0,NA
76561198258631321,1778820,0,NA
76561198840236312,389730,194.3,NA
76561198840236312,1778820,8.2,3.2
76561198020706251,389730,2912.6833333333334,NA
76561198020706251,1778820,371.71666666666664,22.633333333333333
76561198398902620,389730,524.3,NA
76561198398902620,1778820,165.06666666666666,17.066666666666666
76561198937158343,389730,467.7,NA
76561198937158343,1778820,59.166666666666664,NA
76561198361218527,389730,1531.3333333333333,NA
76561198361218527,1778820,265.95,36.7
76561198967095656,389730,13.633333333333333,NA
76561198967095656,1778820,97.01666666666667,0.4166666666666667
76561198410061989,389730,32,NA
76561198410061989,1778820,125.95,12.766666666666667
76561198351159514,389730,3035.65,0.08333333333333333
76561198351159514,1778820,239.21666666666667,34.15
76561198079275816,389730,0,NA
76561198079275816,1778820,0,NA
76561198116079972,389730,43.083333333333336,NA
76561198116079972,1778820,116.08333333333333,11.266666666666667
76561198326099133,389730,93.05,NA
76561198326099133,1778820,134.46666666666667,1.8666666666666667
76561198010370368,389730,807.5333333333333,NA
76561198010370368,1778820,116.9,NA
76561198106921199,389730,33.71666666666667,NA
76561198106921199,1778820,118.35,0.26666666666666666
76561198079984890,389730,13.5,NA
76561198079984890,1778820,96.93333333333334,3.2
76561198065210148,389730,0,NA
76561198065210148,1778820,0,NA
76561198058560489,389730,248.06666666666666,NA
76561198058560489,1778820,311.8666666666667,29.933333333333334
76561198310277921,1778820,20.433333333333334,NA
76561198119915501,389730,71.11666666666666,NA
76561198119915501,1778820,75.68333333333334,5.516666666666667
76561198068725484,389730,0,NA
76561198068725484,1778820,38.03333333333333,NA
76561198002269991,389730,37.1,NA
76561198002269991,1778820,207.63333333333333,23.733333333333334
76561198067649164,1778820,59.43333333333333,NA
76561198058699209,389730,12.3,NA
76561198058699209,1778820,9.566666666666666,NA
76561197990345985,389730,78.95,NA
76561197990345985,1778820,41.05,NA
76561198080913496,389730,315.05,NA
76561198080913496,1778820,200.58333333333334,30.033333333333335
76561198309219054,389730,110.96666666666667,NA
76561198309219054,1778820,51.266666666666666,NA
76561198181248501,389730,16.166666666666668,NA
76561198181248501,1778820,345.8833333333333,NA
76561198030330504,389730,319.76666666666665,NA
76561198030330504,1778820,28.833333333333332,0.21666666666666667
76561198109952177,389730,25.7,NA
76561198109952177,1778820,53.333333333333336,1.2166666666666666
76561198280765707,389730,248.83333333333334,NA
76561198280765707,1778820,39.03333333333333,2.9833333333333334
76561198338620586,389730,14.783333333333333,NA
76561198338620586,1778820,146.3,43
76561198868229649,389730,180.88333333333333,0.7333333333333333
76561198868229649,1778820,234.41666666666666,14
76561198103928585,389730,245.61666666666667,NA
76561198103928585,1778820,70.5,10.4
76561198800120655,389730,263.81666666666666,NA
76561198800120655,1778820,26.283333333333335,1.1166666666666667
76561198104118989,389730,1855.1,NA
76561198104118989,1778820,240.8,14.983333333333333
76561198025327110,389730,32.68333333333333,NA
76561198025327110,1778820,97.8,10.366666666666667
76561198930265445,389730,461.48333333333335,NA
76561198930265445,1778820,73.21666666666667,0.75
76561198061350987,389730,0,NA
76561198061350987,1778820,0,NA
76561198038598982,1778820,40.416666666666664,NA
76561198034350944,1778820,230.43333333333334,4.666666666666667
76561198061355140,389730,125.81666666666666,NA
76561198061355140,1778820,59.45,4.183333333333334
76561198026780763,389730,0,NA
76561198026780763,1778820,0,NA
76561198097479783,389730,65.03333333333333,NA
76561198110100656,1778820,66.63333333333334,NA
76561198094134996,389730,18.633333333333333,NA
76561198094134996,1778820,30.116666666666667,NA
76561198255686108,389730,223.35,NA
76561198255686108,1778820,63,1.1833333333333333
76561198028718364,389730,60.61666666666667,NA
76561198028718364,1778820,182.85,4.1
76561198145672132,1778820,236.55,38.333333333333336
76561198145672132,389730,46.96666666666667,NA
76561198060148915,1778820,33.55,0.11666666666666667
76561198143324908,389730,216.9,NA
76561198143324908,1778820,203.86666666666667,35.38333333333333
76561198013968171,389730,11.266666666666667,NA
76561198013968171,1778820,49.53333333333333,NA
76561198066354285,389730,1942.3333333333333,NA
76561198066354285,1778820,276.2,27.783333333333335
76561198202133275,389730,3692.6833333333334,NA
76561198202133275,1778820,315.21666666666664,23.583333333333332
76561198388179727,389730,4441.166666666667,NA
76561198388179727,1778820,469.56666666666666,36.53333333333333
76561198011094722,1778820,92.33333333333333,6.55
76561198165751522,389730,10.666666666666666,NA
76561198165751522,1778820,33.233333333333334,NA
76561199056036722,389730,101.81666666666666,NA
76561199056036722,1778820,149.31666666666666,1.6666666666666667
76561198337302956,389730,16.7,NA
76561198195919728,389730,1121.2833333333333,NA
76561198195919728,1778820,263.21666666666664,1.6166666666666667
76561198282468144,389730,1326.5166666666667,NA
76561198282468144,1778820,129.06666666666666,0.95
76561198169240969,389730,104.1,NA
76561198169240969,1778820,112.55,10.316666666666666
76561197990621922,389730,7.15,NA
76561197990621922,1778820,115.7,10.35
76561198126979801,1778820,109.1,NA
76561198303860033,1778820,11.433333333333334,0.6833333333333333
76561198311622028,389730,184.6,NA
76561198311622028,1778820,49.95,6.216666666666667
76561198126719745,1778820,57.88333333333333,1.1666666666666667
76561198079403266,389730,823.75,NA
76561198079403266,1778820,228.25,2.4
76561198197131998,389730,23.85,NA
76561198197131998,1778820,163.68333333333334,1.3833333333333333
76561198187093226,1778820,191.21666666666667,12.266666666666667
76561198020819138,389730,3091.2,NA
76561198020819138,1778820,238.5,41.45
76561197983528249,389730,611.7166666666667,NA
76561197983528249,1778820,193.91666666666666,5.8
76561198132612828,389730,3684.2833333333333,1.6
76561198132612828,1778820,551.65,67.73333333333333
76561198963482358,389730,1935.9,NA
76561198963482358,1778820,436.01666666666665,61.71666666666667
76561198218159097,389730,4682.35,NA
76561198218159097,1778820,485.4166666666667,62.233333333333334
76561198043859626,389730,0,NA
76561198043859626,1778820,0,NA
76561198029074588,389730,0,NA
76561198029074588,1778820,0,NA
76561198106629402,1778820,150.81666666666666,10.733333333333333
76561198084641941,389730,0,NA
76561198084641941,1778820,0,NA
76561198036893157,389730,2297.9166666666665,NA
76561198036893157,1778820,276.3333333333333,19.016666666666666
76561198876055748,389730,7992.316666666667,NA
76561198876055748,1778820,621.9666666666667,64.15
76561198806973882,389730,108.68333333333334,NA
76561198806973882,1778820,168.76666666666668,28.083333333333332
76561198106825346,389730,276.5,NA
76561198106825346,1778820,66.83333333333333,8.65
76561198178965327,389730,77.88333333333334,NA
76561198178965327,1778820,103.36666666666666,NA
76561199016690642,389730,175.21666666666667,NA
76561199016690642,1778820,141.61666666666667,6.783333333333333
76561198158632413,389730,0,NA
76561198158632413,1778820,0,NA
76561198063993053,389730,103.18333333333334,NA
76561198063993053,1778820,56.38333333333333,NA
76561198942298435,389730,36.28333333333333,NA
76561198942298435,1778820,193.23333333333332,5.85
76561198853616056,389730,9.866666666666667,NA
76561198853616056,1778820,8.783333333333333,NA
76561198187767251,389730,1250.4,NA
76561198187767251,1778820,460.3666666666667,26.666666666666668
76561198024578632,389730,705.3833333333333,NA
76561198024578632,1778820,352.76666666666665,55.86666666666667
76561198408865321,389730,76.23333333333333,NA
76561198408865321,1778820,95.6,19.316666666666666
76561198057085373,389730,0,NA
76561198057085373,1778820,0,NA
76561198073713920,389730,75.43333333333334,0.26666666666666666
76561198073713920,1778820,55.63333333333333,5.466666666666667
76561198372100694,389730,4852.683333333333,0.21666666666666667
76561198372100694,1778820,244.71666666666667,34.75
76561198041931278,389730,80.31666666666666,0.016666666666666666
76561198041931278,1778820,85.16666666666667,1.4166666666666667
76561198945802888,389730,2068.1,NA
76561198945802888,1778820,212.3,10.183333333333334
76561198086120591,1778820,31.3,NA
76561198204526540,1778820,0,NA
