steamid,appid,playtime_forever,playtime_2weeks,X1pPlayerName,rank,games,n,sample_weights
76561198079575468,389730,46.7,NA,Pemento,9,1,1754,0.037613655858637844
76561198079575468,1778820,39.733333333333334,4.816666666666666,Pemento,9,1,1754,0.037613655858637844
76561199057279150,389730,500.6166666666667,NA,민간인박동근,19,22,2720,0.058329044433007377
76561199057279150,1778820,102.66666666666667,3.6333333333333333,민간인박동근,19,22,2720,0.058329044433007377
76561198405282944,389730,0,NA,welker79,6,13,872,0.018699605421170013
76561198405282944,1778820,0,NA,welker79,6,13,872,0.018699605421170013
76561198185979647,389730,279,NA,BubzMeister,22,2,1384,0.029679190255618458
76561198185979647,1778820,271.4166666666667,35.18333333333333,BubzMeister,22,2,1384,0.029679190255618458
76561198054545014,389730,465.28333333333336,NA,HoodyNinja,19,3,2720,0.058329044433007377
76561198054545014,1778820,189.21666666666667,17.283333333333335,HoodyNinja,19,3,2720,0.058329044433007377
76561198141530923,1778820,83.08333333333333,1.75,Za_Billy,10,6,1458,0.03126608337622234
76561198068088237,389730,717.6833333333333,NA,Carboxyl,12,1,2664,0.057128152341739576
76561198068088237,1778820,76.15,1.6166666666666667,Carboxyl,12,1,2664,0.057128152341739576
76561198404679121,389730,41.4,NA,BritishBenji,5,2,607,0.01301681248927775
76561198404679121,1778820,68,10.9,BritishBenji,5,2,607,0.01301681248927775
76561198174992009,389730,3758.65,NA,tsugu,24,1,775,0.016619488763081145
76561198174992009,1778820,306.3333333333333,36.9,tsugu,24,1,775,0.016619488763081145
76561198189561203,389730,0.4666666666666667,NA,Dezato,9,2,1754,0.037613655858637844
76561198189561203,1778820,98.25,NA,Dezato,9,2,1754,0.037613655858637844
76561198886647983,389730,0,NA,Typh,18,3,3634,0.07792931892262824
76561198886647983,1778820,0,NA,Typh,18,3,3634,0.07792931892262824
76561198240780230,389730,11.933333333333334,NA,Chirp,4,3,549,0.011773031394750387
76561198024340738,389730,28.033333333333335,NA,ZEbrA22,11,1,1629,0.03493309315491508
76561198024340738,1778820,21.666666666666668,NA,ZEbrA22,11,1,1629,0.03493309315491508
76561198190249397,389730,25.3,NA,ANoose,5,6,607,0.01301681248927775
76561198190249397,1778820,39.45,NA,ANoose,5,6,607,0.01301681248927775
76561198157104241,389730,5.066666666666666,NA,Ra1nhardt,0,5,353,0.00756990907531309
76561198157104241,1778820,14.183333333333334,NA,Ra1nhardt,0,5,353,0.00756990907531309
76561198112502792,389730,217.45,NA,아몰라클라는컷킥쓸꺼야,20,17,2596,0.05566992623091439
76561198112502792,1778820,65.36666666666666,3,아몰라클라는컷킥쓸꺼야,20,17,2596,0.05566992623091439
76561198348721800,389730,0,NA,Solar,18,18,3634,0.07792931892262824
76561198348721800,1778820,0,NA,Solar,18,18,3634,0.07792931892262824
76561197986495920,1778820,38.983333333333334,NA,SeloX,4,4,549,0.011773031394750387
76561198156473013,1778820,75.9,0.4,Loner,7,4,734,0.015740264196260078
76561199049629676,389730,5.55,NA,your ill egf,1,1,425,0.009113913192657403
76561199049629676,1778820,105.2,0.13333333333333333,your ill egf,1,1,425,0.009113913192657403
76561198067672215,389730,1087.45,NA,Taser,14,13,2923,0.06268227826385314
76561198067672215,1778820,76.63333333333334,24.816666666666666,Taser,14,13,2923,0.06268227826385314
76561198005483253,389730,196.11666666666667,NA,TRAXANOPLAGIAS,0,1,353,0.00756990907531309
76561198005483253,1778820,65.5,19.85,TRAXANOPLAGIAS,0,1,353,0.00756990907531309
76561198817787005,389730,1010.1833333333333,NA,navi_lo82,18,4,3634,0.07792931892262824
76561198817787005,1778820,173.65,10.45,navi_lo82,18,4,3634,0.07792931892262824
76561199140236317,389730,81.65,NA,pun pun,8,1,835,0.017906158860868073
76561199140236317,1778820,77.18333333333334,0.5833333333333334,pun pun,8,1,835,0.017906158860868073
76561198799398343,1778820,23.616666666666667,NA,Doppeyo,10,2,1458,0.03126608337622234
76561198117268124,389730,281.81666666666666,NA,Airpirate,16,1,3577,0.07670698232973065
76561198117268124,1778820,85.8,10.016666666666667,Airpirate,16,1,3577,0.07670698232973065
76561198051432231,389730,0,NA,Nyxeros,15,5,5469,0.11727997941327843
76561198051432231,1778820,0,NA,Nyxeros,15,5,5469,0.11727997941327843
76561198061834891,389730,1233.85,NA,skunk,19,1,2720,0.058329044433007377
76561198061834891,1778820,103.11666666666666,11.866666666666667,skunk,19,1,2720,0.058329044433007377
76561198054517276,389730,974.35,NA,Venxord,19,7,2720,0.058329044433007377
76561198054517276,1778820,41.11666666666667,NA,Venxord,19,7,2720,0.058329044433007377
76561198042566345,389730,0,NA,Wingman,12,7,2664,0.057128152341739576
76561198042566345,1778820,0,NA,Wingman,12,7,2664,0.057128152341739576
76561198216307153,1778820,44.15,NA,Q10ps,2,2,369,0.007913021101389604
76561199068534601,389730,2009.35,NA,Arare,15,2,5469,0.11727997941327843
76561199068534601,1778820,139.4,36.766666666666666,Arare,15,2,5469,0.11727997941327843
