steamid,appid,playtime_forever,playtime_2weeks
76561198173258623,389730,4.55,NA
76561198173258623,1778820,38.95,NA
76561197963696036,389730,285.53333333333336,NA
76561197963696036,1778820,320.25,7.866666666666666
76561198242646642,389730,595.0666666666667,NA
76561198242646642,1778820,80.1,5.083333333333333
76561198318186920,389730,54.8,NA
76561198318186920,1778820,84.21666666666667,3.1666666666666665
76561198268376799,1778820,75.91666666666667,NA
76561198268376799,389730,147.15,NA
76561198292485866,1778820,50.833333333333336,0.4666666666666667
76561198338886061,1778820,65.73333333333333,7.9
76561198828769726,389730,199.93333333333334,NA
76561198828769726,1778820,311.5,21.566666666666666
76561198111557607,389730,13.55,NA
76561198111557607,1778820,212.41666666666666,17.216666666666665
76561198154204412,389730,312.95,NA
76561198368950924,389730,19.166666666666668,NA
76561198368950924,1778820,58.46666666666667,NA
76561198114317129,1778820,22.333333333333332,NA
76561198370228137,389730,21.466666666666665,NA
76561198370228137,1778820,75.4,NA
76561198297171529,1778820,93.2,NA
76561199255909647,389730,21.5,NA
76561199255909647,1778820,292.55,49.233333333333334
76561198157714954,389730,413.06666666666666,NA
76561198157714954,1778820,218.98333333333332,2.0833333333333335
76561198312110602,389730,4155.483333333334,NA
76561198312110602,1778820,665.8,60.95
76561198043773073,389730,0,NA
76561198043773073,1778820,0,NA
76561198088266838,389730,2655.8166666666666,NA
76561198088266838,1778820,501.53333333333336,50.53333333333333
76561198010493402,389730,1597.6166666666666,NA
76561198010493402,1778820,331.51666666666665,21.133333333333333
76561198026039415,389730,58.36666666666667,NA
76561198026039415,1778820,278.4166666666667,5.4
76561198186105493,389730,374.3833333333333,NA
76561198186105493,1778820,140.25,23.766666666666666
76561198156987401,1778820,19.183333333333334,NA
76561198010522797,389730,403.5833333333333,NA
76561198010522797,1778820,249.8,63.86666666666667
76561198065895277,389730,799.8666666666667,NA
76561198065895277,1778820,267.2,18.716666666666665
76561198124921450,1778820,0,NA
76561198063978452,389730,105.1,NA
76561198063978452,1778820,130.65,NA
76561198003172915,389730,379.4,NA
76561198003172915,1778820,388.9166666666667,31.033333333333335
76561198317059203,389730,729.8166666666667,NA
76561198317059203,1778820,389.56666666666666,30.766666666666666
76561198429644440,1778820,158.15,35.95
76561198409195460,389730,439.25,1.9333333333333333
76561198409195460,1778820,12.866666666666667,NA
76561198813537183,389730,8.733333333333333,NA
76561198813537183,1778820,27.4,NA
76561198010448750,389730,0,NA
76561198010448750,1778820,0,NA
76561198003391254,389730,1399.8833333333334,NA
76561198003391254,1778820,446.6666666666667,18.55
76561198372100694,389730,4852.683333333333,0.21666666666666667
76561198372100694,1778820,247.25,33.93333333333333
76561198084365262,389730,8.5,NA
76561198084365262,1778820,16.766666666666666,NA
76561198015544671,389730,232.2,NA
76561198015544671,1778820,162.88333333333333,NA
76561198320887925,1778820,102.21666666666667,30.133333333333333
76561198049473680,1778820,187.06666666666666,14.716666666666667
76561198049473680,389730,32.2,NA
76561198151642975,389730,188.55,NA
76561198151642975,1778820,76.91666666666667,0.75
76561199063064856,389730,43.71666666666667,NA
76561199063064856,1778820,57.28333333333333,3.65
76561198063588722,389730,695.3,NA
76561198063588722,1778820,314.15,25.583333333333332
76561199014743222,389730,561.6,NA
76561199014743222,1778820,146.33333333333334,21.683333333333334
76561197962904504,389730,0,NA
76561197962904504,1778820,0,NA
76561198030459791,1778820,329.6166666666667,4.55
76561198129451068,389730,34.8,NA
76561198129451068,1778820,69.46666666666667,NA
76561198079329043,389730,1104.55,0.16666666666666666
76561198079329043,1778820,562.9,95.6
76561198116128836,389730,1499.8666666666666,NA
76561198116128836,1778820,371.6,NA
76561198370699875,389730,77.55,NA
76561198370699875,1778820,221.95,9.233333333333333
76561198069370159,389730,179.38333333333333,NA
76561198069370159,1778820,206.11666666666667,32.166666666666664
76561199008418848,389730,63.516666666666666,NA
76561199008418848,1778820,30.966666666666665,NA
76561198187093226,1778820,196.81666666666666,17.866666666666667
76561198058560489,389730,248.06666666666666,NA
76561198058560489,1778820,312.7,27.266666666666666
76561198306327107,389730,444.5,NA
76561198306327107,1778820,51.983333333333334,NA
76561198086482894,389730,5.183333333333334,NA
76561198086482894,1778820,81.91666666666667,NA
76561198291348689,389730,13.266666666666667,NA
76561198291348689,1778820,47.95,NA
76561198019986199,389730,5130.533333333334,NA
76561198019986199,1778820,616.9833333333333,70.38333333333334
76561199083510432,389730,1154.8833333333334,NA
76561199083510432,1778820,191.35,0.5666666666666667
76561198126979801,1778820,109.1,NA
76561197962772578,389730,0,NA
76561197962772578,1778820,0,NA
76561199010186514,1778820,18.183333333333334,NA
76561198100728425,389730,1097.4666666666667,NA
76561198100728425,1778820,567.1,52.11666666666667
76561198427080585,389730,61.93333333333333,NA
76561198427080585,1778820,71.78333333333333,NA
76561198062218831,389730,10.05,NA
76561198062218831,1778820,89.8,4.75
76561198162391230,389730,224.48333333333332,NA
76561198162391230,1778820,25.983333333333334,NA
76561198165093776,389730,273.98333333333335,NA
76561198165093776,1778820,445.0833333333333,35.38333333333333
76561198169743730,389730,2498.65,NA
76561198169743730,1778820,525.8833333333333,49.63333333333333
76561198114075239,1778820,635.3166666666667,36.21666666666667
76561198109935194,389730,78.75,NA
76561198109935194,1778820,30.9,1.4
76561198970844259,389730,494.65,NA
