steamid,appid,playtime_forever,playtime_2weeks,X1pPlayerName,rank,games,n,sample_weights
76561198116862162,389730,5.1,NA,fufa,15,13,7267,0.11648633485613528
76561198116862162,1778820,79.13333333333334,14.916666666666666,fufa,15,13,7267,0.11648633485613528
76561198127350781,389730,3485.7,1.2333333333333334,Eipols,27,15,295,0.0047287008094894604
76561198127350781,1778820,429.98333333333335,58.083333333333336,Eipols,27,15,295,0.0047287008094894604
76561198041828181,1778820,95.13333333333334,25.866666666666667,UltimateChief,16,3,4627,0.07416846998477199
76561198886022244,389730,3095.0666666666666,NA,GyoGun | AO,29,2,143,0.0022922176805321793
76561198886022244,1778820,491.01666666666665,46.766666666666666,GyoGun | AO,29,2,143,0.0022922176805321793
76561198144227379,389730,0,NA,5trif3r,14,1,3312,0.05308968502043761
76561198144227379,1778820,0,NA,5trif3r,14,1,3312,0.05308968502043761
76561199014777082,1778820,11.833333333333334,11.833333333333334,Yawn,4,15,802,0.01285565440410355
76561197991951576,1778820,52.78333333333333,1,alerrian,5,1,849,0.013609040634767974
76561197991951576,389730,3.75,NA,alerrian,5,1,849,0.013609040634767974
76561199014095293,389730,3987.5,NA,Deadly_Scorpion,27,5,295,0.0047287008094894604
76561199014095293,1778820,249.86666666666667,34.983333333333334,Deadly_Scorpion,27,5,295,0.0047287008094894604
76561198238056282,1778820,8.95,8.95,RagnokVT,2,4,567,0.009088723250781437
76561198077806619,1778820,59.8,19.116666666666667,RattleSnake00,7,2,889,0.014250220405546205
76561199082570289,389730,187.71666666666667,2.533333333333333,ZeroDeath178,0,4,2058,0.03298869920654003
76561199082570289,1778820,197.7,27.183333333333334,ZeroDeath178,0,4,2058,0.03298869920654003
76561198356717162,389730,223.71666666666667,NA,xqjlake,14,7,3312,0.05308968502043761
76561198343742692,1778820,133.28333333333333,39.75,PopTart,14,6,3312,0.05308968502043761
76561199104421355,389730,481.1166666666667,NA,Cthulhich,19,2,3379,0.05416366113649115
76561199104421355,1778820,121.01666666666667,23.016666666666666,Cthulhich,19,2,3379,0.05416366113649115
76561198118233314,389730,0,NA,MomoDog,29,2,143,0.0022922176805321793
76561198118233314,1778820,0,NA,MomoDog,29,2,143,0.0022922176805321793
76561197992409380,389730,878.8833333333333,NA,Veilanof,20,7,2975,0.047687745451631
76561197992409380,1778820,104.85,7.916666666666667,Veilanof,20,7,2975,0.047687745451631
76561198382545831,389730,2915.7166666666667,NA,garl3o,23,46,1355,0.021719964735112608
76561198382545831,1778820,217.85,47.68333333333333,garl3o,23,46,1355,0.021719964735112608
76561199484092839,1778820,173.55,77.61666666666666,Bamagix,25,16,795,0.01274344794421736
76561198124075740,389730,20,NA,Sergey471v,9,7,2221,0.03560150677246133
