steamid,appid,playtime_forever,playtime_2weeks,1pPlayerName,rank,games,n,sample_weights
76561198035971148,1778820,17.75,17.75,Rigel,0,2,1511,0.04206804387772148
76561198138962399,389730,0,NA,Quackz,0,2,1511,0.04206804387772148
76561198138962399,1778820,12.05,12.05,Quackz,0,2,1511,0.04206804387772148
76561198343742692,1778820,33.03333333333333,33.03333333333333,PopTart,0,2,1511,0.04206804387772148
76561198004392224,389730,461.18333333333334,NA,x_ixa_x,0,1,1511,0.04206804387772148
76561198004392224,1778820,119.66666666666667,37.8,x_ixa_x,0,1,1511,0.04206804387772148
76561198001248927,1778820,21.133333333333333,7.25,Shibideebee,0,1,1511,0.04206804387772148
76561198026783474,389730,100.43333333333334,NA,cokewg,0,1,1511,0.04206804387772148
76561198026783474,1778820,16.916666666666668,16.916666666666668,cokewg,0,1,1511,0.04206804387772148
76561198038160034,389730,36.733333333333334,NA,Iggy Biggy,0,1,1511,0.04206804387772148
76561198038160034,1778820,51.15,12.4,Iggy Biggy,0,1,1511,0.04206804387772148
76561198850160513,1778820,17.3,17.3,weinerbarf,0,2,1511,0.04206804387772148
76561198127010536,389730,9,NA,Lantors,0,1,1511,0.04206804387772148
76561198127010536,1778820,49.75,6.116666666666666,Lantors,0,1,1511,0.04206804387772148
76561198075463879,1778820,12.1,12.1,Deaths,0,2,1511,0.04206804387772148
76561197990345985,389730,78.95,NA,Jetrocketeer,0,1,1511,0.04206804387772148
76561197990345985,1778820,30.35,17.333333333333332,Jetrocketeer,0,1,1511,0.04206804387772148
76561198214597468,389730,14.333333333333334,NA,Aijuke,0,1,1511,0.04206804387772148
76561198214597468,1778820,6.866666666666666,1.2166666666666666,Aijuke,0,1,1511,0.04206804387772148
76561198139083537,1778820,6.15,0.7166666666666667,Endersshadow,0,1,1511,0.04206804387772148
76561198288008737,1778820,11.016666666666667,6.016666666666667,my024279,0,2,1511,0.04206804387772148
76561198094134996,389730,18.633333333333333,NA,ZenTheGoot,0,1,1511,0.04206804387772148
76561198094134996,1778820,26.066666666666666,3.1333333333333333,ZenTheGoot,0,1,1511,0.04206804387772148
76561198003172915,389730,379.4,NA,Pleinair,0,8,1511,0.04206804387772148
76561198003172915,1778820,182.8,70.45,Pleinair,0,8,1511,0.04206804387772148
76561198093938638,389730,511.1166666666667,NA,Konorika,0,2,1511,0.04206804387772148
76561198093938638,1778820,9.216666666666667,9.216666666666667,Konorika,0,2,1511,0.04206804387772148
76561198092977429,389730,201.18333333333334,NA,V_SLASH55,0,1,1511,0.04206804387772148
76561198092977429,1778820,76.15,21.15,V_SLASH55,0,1,1511,0.04206804387772148
76561198101793869,389730,84.65,NA,Peanut,1,1,324,0.009020546801046829
76561198101793869,1778820,5.983333333333333,5.983333333333333,Peanut,1,1,324,0.009020546801046829
76561197961597411,1778820,12.233333333333333,12.233333333333333,Scourgy,1,1,324,0.009020546801046829
76561199012025489,389730,18.55,NA,Pickl,1,2,324,0.009020546801046829
76561199012025489,1778820,8.55,8.55,Pickl,1,2,324,0.009020546801046829
76561198094478314,389730,18.183333333333334,NA,Fzico0303,1,1,324,0.009020546801046829
76561198094478314,1778820,12.05,12.05,Fzico0303,1,1,324,0.009020546801046829
76561198012800978,389730,55.38333333333333,NA,Jawschey,1,1,324,0.009020546801046829
76561198012800978,1778820,19.666666666666668,18.2,Jawschey,1,1,324,0.009020546801046829
76561199072992763,1778820,19.7,6.866666666666666,Nubberzz,1,1,324,0.009020546801046829
76561198090442187,1778820,15.25,15.25,PruttIvan,1,1,324,0.009020546801046829
76561198087011365,389730,24.133333333333333,NA,bereblack,1,1,324,0.009020546801046829
76561198087011365,1778820,17.5,17.5,bereblack,1,1,324,0.009020546801046829
76561198888736201,1778820,8.183333333333334,2.183333333333333,SlavicBaby,2,1,415,0.011554095439612451
76561198041819797,389730,27.683333333333334,NA,status_unown,2,1,415,0.011554095439612451
76561198041819797,1778820,4.066666666666666,4.066666666666666,status_unown,2,1,415,0.011554095439612451
76561198046984765,1778820,0,NA,Seeksie,2,1,415,0.011554095439612451
76561198370907396,389730,2.316666666666667,NA,kpg014,2,1,415,0.011554095439612451
76561198370907396,1778820,9.633333333333333,3.1666666666666665,kpg014,2,1,415,0.011554095439612451
76561198175467713,389730,12.416666666666666,NA,tuckedin,2,2,415,0.011554095439612451
76561198175467713,1778820,39.21666666666667,5.95,tuckedin,2,2,415,0.011554095439612451
76561199060410464,1778820,19.016666666666666,19.016666666666666,DuckBoi3223,2,1,415,0.011554095439612451
76561197983295329,389730,0,NA,Clusterfonk,2,2,415,0.011554095439612451
76561197983295329,1778820,0,NA,Clusterfonk,2,2,415,0.011554095439612451
76561199146940288,1778820,33.766666666666666,17.883333333333333,Momkuy,2,2,415,0.011554095439612451
76561198212167641,389730,172.78333333333333,NA,Kiton,2,1,415,0.011554095439612451
76561198212167641,1778820,20.716666666666665,20.716666666666665,Kiton,2,1,415,0.011554095439612451
76561198289091263,1778820,9.266666666666667,9.266666666666667,Purple,2,1,415,0.011554095439612451
76561198303860033,1778820,6.8,6.8,Sploot,2,1,415,0.011554095439612451
76561199090752172,389730,7.3,NA,LostWheat,2,1,415,0.011554095439612451
76561199090752172,1778820,39.21666666666667,9.466666666666667,LostWheat,2,1,415,0.011554095439612451
76561198164382848,1778820,19.083333333333332,0.45,GrubbleSnops,2,1,415,0.011554095439612451
76561198068957003,389730,16.116666666666667,NA,prodislavQ,2,1,415,0.011554095439612451
76561198068957003,1778820,33.28333333333333,18.116666666666667,prodislavQ,2,1,415,0.011554095439612451
76561198847815161,1778820,43.583333333333336,30.933333333333334,蓝衣佛法僧,2,1,415,0.011554095439612451
76561198128442901,389730,16.966666666666665,NA,ZarWieFlick,2,3,415,0.011554095439612451
76561198128442901,1778820,18.266666666666666,13.316666666666666,ZarWieFlick,2,3,415,0.011554095439612451
76561198311622028,389730,184.6,NA,Ry_yan,3,1,620,0.017261540174842698
76561198311622028,1778820,21.8,17.383333333333333,Ry_yan,3,1,620,0.017261540174842698
