steamid,appid,playtime_forever,playtime_2weeks,X1pPlayerName,rank,games,n,sample_weights
76561198331972462,389730,1026.5,NA,Goblino,23,14,1041,0.02232372619660319
76561198331972462,1778820,86.63333333333334,7.616666666666666,Goblino,23,14,1041,0.02232372619660319
76561198206533255,389730,5.95,NA,Xumi,18,1,3634,0.07792931892262824
76561198206533255,1778820,177.36666666666667,NA,Xumi,18,1,3634,0.07792931892262824
76561198172838381,389730,124.4,NA,Mysterion,16,1,3577,0.07670698232973065
76561198172838381,1778820,520.0833333333334,62.1,Mysterion,16,1,3577,0.07670698232973065
76561198016275223,1778820,91.66666666666667,3.683333333333333,KassirVMake,9,13,1754,0.037613655858637844
76561198086291935,389730,246.73333333333332,NA,Lil Rowdy,16,7,3577,0.07670698232973065
76561198086291935,1778820,106.21666666666667,8.25,Lil Rowdy,16,7,3577,0.07670698232973065
76561198359114139,389730,854.85,NA,Areeon,24,5,775,0.016619488763081145
76561198359114139,1778820,170.03333333333333,NA,Areeon,24,5,775,0.016619488763081145
76561198115099025,1778820,342.3,13.816666666666666,도녕김치연구소,16,10,3577,0.07670698232973065
76561197993115225,389730,428.7,NA,Rynaesa,13,2,2452,0.05258191799622577
76561197993115225,1778820,202.98333333333332,18.916666666666668,Rynaesa,13,2,2452,0.05258191799622577
76561198050078238,389730,40.81666666666667,NA,D3xus,26,3,345,0.007398353062274833
76561198050078238,1778820,212.11666666666667,3.816666666666667,D3xus,26,3,345,0.007398353062274833
76561198385570045,1778820,124.9,1.1333333333333333,HollWall,16,4,3577,0.07670698232973065
76561198874720621,1778820,13.833333333333334,NA,Kanedgyy_,3,2,611,0.013102590495796878
76561199201641770,389730,0,NA,Gyts,18,7,3634,0.07792931892262824
76561199201641770,1778820,0,NA,Gyts,18,7,3634,0.07792931892262824
76561197991951576,1778820,52.78333333333333,NA,alerrian,5,1,607,0.01301681248927775
76561197991951576,389730,3.75,NA,alerrian,5,1,607,0.01301681248927775
76561198142135198,1778820,58.45,0.25,사다마임,6,5,872,0.018699605421170013
76561198380615031,1778820,29.25,3.5166666666666666,SeifeIstCool,3,6,611,0.013102590495796878
76561198420335696,389730,27.4,NA,bin19,7,7,734,0.015740264196260078
76561198420335696,1778820,35.083333333333336,NA,bin19,7,7,734,0.015740264196260078
76561198065316933,389730,209.68333333333334,NA,Кама Пуля,9,2,1754,0.037613655858637844
76561198065316933,1778820,150.88333333333333,28.1,Кама Пуля,9,2,1754,0.037613655858637844
76561198091314031,389730,107.16666666666667,NA,DrPepper,8,5,835,0.017906158860868073
76561198091314031,1778820,22.383333333333333,0.85,DrPepper,8,5,835,0.017906158860868073
76561198847349197,389730,754.0166666666667,NA,Perfect-浅离,22,12,1384,0.029679190255618458
76561198847349197,1778820,394.4166666666667,15.55,Perfect-浅离,22,12,1384,0.029679190255618458
76561198102306491,389730,2.35,NA,Long Shlang,11,2,1629,0.03493309315491508
76561198102306491,1778820,156.76666666666668,1.0333333333333334,Long Shlang,11,2,1629,0.03493309315491508
76561198053879970,389730,0.9833333333333333,NA,Sorrows,7,2,734,0.015740264196260078
76561198053879970,1778820,58.65,NA,Sorrows,7,2,734,0.015740264196260078
76561198199658575,389730,3074.2833333333333,NA,rain,24,8,775,0.016619488763081145
76561198199658575,1778820,262.43333333333334,26.666666666666668,rain,24,8,775,0.016619488763081145
76561198038023845,1778820,115.35,8.566666666666666,Emp0tr4d0r,10,3,1458,0.03126608337622234
76561198038023845,389730,138.51666666666668,NA,Emp0tr4d0r,10,3,1458,0.03126608337622234
76561198071811110,389730,2017.35,NA,kaifoman,24,3,775,0.016619488763081145
76561198071811110,1778820,262.8666666666667,15.516666666666667,kaifoman,24,3,775,0.016619488763081145
76561198263229292,389730,11.333333333333334,NA,LUISMASTER,8,14,835,0.017906158860868073
76561198263229292,1778820,37.06666666666667,11.466666666666667,LUISMASTER,8,14,835,0.017906158860868073
