1pRank,2pRank,n,p1_win,p1_rate
7,0,81,46,0.5679012345679012
7,1,36,19,0.5277777777777778
7,2,102,45,0.4411764705882353
7,3,201,132,0.6567164179104478
7,4,1056,685,0.6486742424242424
7,5,2111,1236,0.5855045002368545
7,6,3034,1593,0.525049439683586
7,7,2146,1095,0.5102516309412861
7,8,2573,1265,0.49164399533618347
7,9,4403,2091,0.4749034749034749
7,10,1428,545,0.38165266106442575
7,11,312,123,0.3942307692307692
7,12,348,133,0.382183908045977
7,13,88,18,0.20454545454545456
7,14,78,19,0.24358974358974358
7,15,149,25,0.16778523489932887
7,16,61,15,0.2459016393442623
7,17,76,12,0.15789473684210525
7,18,12,2,0.16666666666666666
7,19,2,0,0
7,20,2,0,0
7,21,8,0,0
7,22,3,0,0
7,25,1,0,0
7,28,5,0,0
8,0,183,118,0.644808743169399
8,1,52,37,0.7115384615384616
8,2,56,37,0.6607142857142857
8,3,366,216,0.5901639344262295
8,4,339,196,0.5781710914454278
8,5,1357,799,0.5887988209285188
8,6,3759,2127,0.5658419792498005
8,7,2567,1292,0.5033112582781457
8,8,3659,1847,0.5047827275211807
8,9,5906,2825,0.47832712495767016
8,10,4486,1725,0.3845296477931342
8,11,2033,666,0.32759468765371375
8,12,817,327,0.40024479804161567
8,13,634,188,0.29652996845425866
8,14,128,23,0.1796875
8,15,227,47,0.20704845814977973
8,16,112,15,0.13392857142857142
8,17,110,15,0.13636363636363635
8,18,94,8,0.0851063829787234
8,19,17,3,0.17647058823529413
8,20,4,0,0
8,21,11,2,0.18181818181818182
8,23,6,0,0
8,24,2,0,0
8,25,2,0,0
8,27,3,0,0
8,28,2,0,0
9,0,207,151,0.7294685990338164
9,1,67,49,0.7313432835820896
9,2,60,34,0.5666666666666667
9,3,108,70,0.6481481481481481
9,4,410,235,0.573170731707317
9,5,425,268,0.6305882352941177
9,6,2780,1566,0.5633093525179856
9,7,4399,2339,0.5317117526710616
9,8,6151,3190,0.5186148593724598
