steamid,appid,playtime_forever,playtime_2weeks,1pPlayerName,rank,games,n,sample_weights
76561198111435704,389730,1005,NA,DJAMAL,0,1,1460,0.04021595416483032
76561198111435704,1778820,66.73333333333333,35.53333333333333,DJAMAL,0,1,1460,0.04021595416483032
76561199248069892,1778820,16.1,10.916666666666666,Yukimonogatari,0,1,1460,0.04021595416483032
76561198089951875,1778820,45.75,15.533333333333333,RIP 30 papp,0,1,1460,0.04021595416483032
76561198043040816,389730,11.833333333333334,NA,C_Salty,0,3,1460,0.04021595416483032
76561198043040816,1778820,26.35,21.033333333333335,C_Salty,0,3,1460,0.04021595416483032
76561198349601273,389730,498.81666666666666,8.233333333333333,pavlot,0,2,1460,0.04021595416483032
76561198349601273,1778820,18.866666666666667,18.866666666666667,pavlot,0,2,1460,0.04021595416483032
76561199139179115,389730,81.95,NA,karachiriranda,0,1,1460,0.04021595416483032
76561199139179115,1778820,24.483333333333334,24.483333333333334,karachiriranda,0,1,1460,0.04021595416483032
76561198827555866,389730,17.65,NA,Jesse,0,1,1460,0.04021595416483032
76561198827555866,1778820,10.533333333333333,10.533333333333333,Jesse,0,1,1460,0.04021595416483032
76561198981117853,1778820,8.05,8.05,Chivo,0,1,1460,0.04021595416483032
76561198043654999,389730,445.8666666666667,NA,Kiy0,0,1,1460,0.04021595416483032
76561198043654999,1778820,73.76666666666667,18.316666666666666,Kiy0,0,1,1460,0.04021595416483032
76561198100394709,389730,0.85,0.15,iallai,0,1,1460,0.04021595416483032
76561198100394709,1778820,61.31666666666667,43.03333333333333,iallai,0,1,1460,0.04021595416483032
76561198057147491,1778820,22.15,2.4166666666666665,Nekurix,0,1,1460,0.04021595416483032
76561198057147491,389730,7.483333333333333,NA,Nekurix,0,1,1460,0.04021595416483032
76561198171653425,389730,8.383333333333333,NA,Shogun4k,0,1,1460,0.04021595416483032
76561198171653425,1778820,4.066666666666666,4.066666666666666,Shogun4k,0,1,1460,0.04021595416483032
76561199013362799,389730,0.21666666666666667,NA,Blodhgarm1945,0,1,1460,0.04021595416483032
76561199013362799,1778820,13.2,3.683333333333333,Blodhgarm1945,0,1,1460,0.04021595416483032
76561198046486744,389730,1.4833333333333334,NA,Loulol,0,1,1460,0.04021595416483032
76561198043050565,1778820,45.516666666666666,18.15,greensoap,0,2,1460,0.04021595416483032
76561198166507929,389730,29.15,NA,PastelNytemare,0,1,1460,0.04021595416483032
76561198166507929,1778820,42.3,6.45,PastelNytemare,0,1,1460,0.04021595416483032
76561198090899817,389730,11.016666666666667,NA,DontStepOnMe,0,1,1460,0.04021595416483032
76561198090899817,1778820,56.583333333333336,18.416666666666668,DontStepOnMe,0,1,1460,0.04021595416483032
76561198162468813,389730,41.266666666666666,NA,이게뭘까용,0,1,1460,0.04021595416483032
76561198162468813,1778820,7.95,7.95,이게뭘까용,0,1,1460,0.04021595416483032
76561198969702567,1778820,48.63333333333333,48.63333333333333,Stavro,0,2,1460,0.04021595416483032
76561198982070904,1778820,0,NA,LemmeGripzYou,0,1,1460,0.04021595416483032
76561198150930897,389730,466.9166666666667,NA,Mister Z,0,2,1460,0.04021595416483032
76561198150930897,1778820,78.41666666666667,25.75,Mister Z,0,2,1460,0.04021595416483032
76561198026508989,389730,3624.016666666667,12.533333333333333,Scorpions911,0,2,1460,0.04021595416483032
76561198026508989,1778820,38.68333333333333,38.68333333333333,Scorpions911,0,2,1460,0.04021595416483032
76561198453215942,1778820,3.183333333333333,3.183333333333333,Splend,0,1,1460,0.04021595416483032
76561198220252661,389730,5.55,NA,Toinou3010,0,1,1460,0.04021595416483032
76561198220252661,1778820,5.716666666666667,5.716666666666667,Toinou3010,0,1,1460,0.04021595416483032
76561198093053209,389730,13.933333333333334,NA,TeamHello,0,1,1460,0.04021595416483032
76561198093053209,1778820,26.75,2.433333333333333,TeamHello,0,1,1460,0.04021595416483032
76561198157048939,1778820,41.03333333333333,41.03333333333333,fortniteballs,0,1,1460,0.04021595416483032
76561198093921378,389730,3.3,NA,Conoos,0,1,1460,0.04021595416483032
76561198093921378,1778820,75.41666666666667,33.63333333333333,Conoos,0,1,1460,0.04021595416483032
76561198044324184,1778820,7.583333333333333,3.216666666666667,Slimeking,0,1,1460,0.04021595416483032
76561198349059724,389730,3.4166666666666665,NA,Collinbear,0,1,1460,0.04021595416483032
76561198349059724,1778820,6.683333333333334,1.65,Collinbear,0,1,1460,0.04021595416483032
